('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         397784 function calls (383418 primitive calls) in 6.359 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
        2    1.064    0.532    1.064    0.532 {built-in method posix.system}
       29    0.030    0.001    0.030    0.001 {method 'read' of '_io.FileIO' objects}
        3    0.023    0.008    0.023    0.008 {built-in method _imp.create_dynamic}
 2768/122    0.016    0.000    0.048    0.000 sre_parse.py:469(_parse)
        1    0.015    0.015    0.016    0.016 {method 'readlines' of '_io._IOBase' objects}
    11897    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
 3160/118    0.010    0.000    0.023    0.000 sre_compile.py:71(_compile)
     1255    0.009    0.000    0.047    0.000 parser.py:301(parse_starttag)
        2    0.006    0.003    0.078    0.039 parser.py:134(goahead)
    46206    0.006    0.000    0.008    0.000 {built-in method builtins.isinstance}
    14029    0.005    0.000    0.005    0.000 sre_parse.py:233(__next)
    17405    0.005    0.000    0.007    0.000 sre_parse.py:164(__getitem__)
     1256    0.005    0.000    0.013    0.000 element.py:1152(__init__)
       29    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
      488    0.005    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
 3087/215    0.004    0.000    0.006    0.000 sre_parse.py:174(getwidth)
        5    0.004    0.001    0.004    0.001 {built-in method posix.listdir}
39676/35918    0.004    0.000    0.005    0.000 {built-in method builtins.len}
    47210    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        1    0.004    0.004    0.028    0.028 dammit.py:2313(_populate_class_variables)
  874/119    0.004    0.000    0.049    0.000 sre_parse.py:411(_parse_sub)
     1255    0.004    0.000    0.021    0.000 __init__.py:691(handle_starttag)
     1255    0.003    0.000    0.025    0.000 _htmlparser.py:119(handle_starttag)
2184/1352    0.003    0.000    0.008    0.000 element.py:2156(_matches)
      950    0.003    0.000    0.006    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
     3664    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     1188    0.003    0.000    0.016    0.000 parser.py:386(parse_endtag)
     1356    0.003    0.000    0.013    0.000 element.py:2060(search_tag)
     1256    0.003    0.000    0.003    0.000 __init__.py:541(pushTag)
     1255    0.003    0.000    0.005    0.000 __init__.py:657(_popToTag)
     8625    0.002    0.000    0.006    0.000 sre_parse.py:254(get)
     2106    0.002    0.000    0.002    0.000 element.py:158(setup)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
     4894    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
      809    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1255    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
      134    0.002    0.000    0.070    0.001 {built-in method builtins.__build_class__}
