('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         397705 function calls (383352 primitive calls) in 1.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.897    0.449    0.897    0.449 {built-in method posix.system}
       29    0.032    0.001    0.032    0.001 {method 'read' of '_io.FileIO' objects}
        3    0.024    0.008    0.024    0.008 {built-in method _imp.create_dynamic}
 2768/122    0.016    0.000    0.049    0.000 sre_parse.py:469(_parse)
        1    0.014    0.014    0.015    0.015 {method 'readlines' of '_io._IOBase' objects}
    11897    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
 3160/118    0.010    0.000    0.023    0.000 sre_compile.py:71(_compile)
     1255    0.009    0.000    0.045    0.000 parser.py:301(parse_starttag)
        2    0.007    0.003    0.076    0.038 parser.py:134(goahead)
    46193    0.006    0.000    0.008    0.000 {built-in method builtins.isinstance}
    17392    0.005    0.000    0.007    0.000 sre_parse.py:164(__getitem__)
    14029    0.005    0.000    0.005    0.000 sre_parse.py:233(__next)
      488    0.005    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
       29    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
 3087/215    0.005    0.000    0.007    0.000 sre_parse.py:174(getwidth)
     1256    0.005    0.000    0.012    0.000 element.py:1152(__init__)
    47197    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
39650/35905    0.004    0.000    0.005    0.000 {built-in method builtins.len}
        1    0.004    0.004    0.028    0.028 dammit.py:2313(_populate_class_variables)
  874/119    0.004    0.000    0.050    0.000 sre_parse.py:411(_parse_sub)
     1255    0.003    0.000    0.020    0.000 __init__.py:691(handle_starttag)
     3664    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     1255    0.003    0.000    0.024    0.000 _htmlparser.py:119(handle_starttag)
2184/1352    0.003    0.000    0.008    0.000 element.py:2156(_matches)
     1188    0.003    0.000    0.016    0.000 parser.py:386(parse_endtag)
     1356    0.003    0.000    0.012    0.000 element.py:2060(search_tag)
     1256    0.003    0.000    0.003    0.000 __init__.py:541(pushTag)
      950    0.003    0.000    0.005    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
     1255    0.003    0.000    0.005    0.000 __init__.py:657(_popToTag)
     2106    0.002    0.000    0.002    0.000 element.py:158(setup)
     8625    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
     4894    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
      809    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      134    0.002    0.000    0.071    0.001 {built-in method builtins.__build_class__}
     6952    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
     1255    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
     5294    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     8350    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     7335    0.002    0.000    0.002    0.000 sre_parse.py:160(__len__)
     2515    0.002    0.000    0.005    0.000 __init__.py:555(endData)
    10882    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     2873    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     1784    0.002    0.000    0.015    0.000 element.py:2123(search)
        5    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     3658    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      256    0.001    0.000    0.082    0.000 re.py:273(_compile)
     4574    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
     1266    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
